Kasper Scmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition XG,,,,,,,,,,,,,,,,,,,
22/08/2021,Away,D 1-1,Manchester Utd,Southampton,3,1,3,66.7,0,0.2,0.8,,,,,,,,,,,,,,,,,,,
29/08/2021,Away,W 1-0,Manchester Utd,Wolves,5,0,5,100,1,1.1,1.8,,,,,,,,,,,,,,,,,,,
11/09/2021,Home,W 4-1,Manchester Utd,Newcastle Utd,4,1,3,75,0,1.5,0.7,,,,,,,,,,,,,,,,,,,
19/09/2021,Away,W 2-1,Manchester Utd,West Ham,3,1,2,66.7,0,1.4,1.6,,,,,,,,,,,,,,,,,,,
25/09/2021,Home,L 0-1,Manchester Utd,Aston Villa,3,1,2,66.7,0,0.6,1.2,,,,,,,,,,,,,,,,,,,
02/10/2021,Home,D 1-1,Manchester Utd,Everton,2,1,1,50,0,0.8,1.1,,,,,,,,,,,,,,,,,,,
16/10/2021,Away,L 2-4,Manchester Utd,Leicester City,11,4,6,63.6,0,4.5,3.1,,,,,,,,,,,,,,,,,,,
24/10/2021,Home,L 0-5,Manchester Utd,Liverpool,8,5,3,37.5,0,4.5,3.8,,,,,,,,,,,,,,,,,,,
30/10/2021,Away,W 3-0,Manchester Utd,Tottenham,0,0,0,,1,0,0.7,,,,,,,,,,,,,,,,,,,
06/11/2021,Home,L 0-2,Manchester Utd,Manchester City,5,2,4,60,0,2.2,2,,,,,,,,,,,,,,,,,,,
20/11/2021,Away,L 1-4,Manchester Utd,Watford,7,4,3,42.9,0,3.5,2.2,,,,,,,,,,,,,,,,,,,
28/11/2021,Away,D 1-1,Manchester Utd,Chelsea,5,1,4,100,0,2.4,2.9,,,,,,,,,,,,,,,,,,,
02/12/2021,Home,W 3-2,Manchester Utd,Arsenal,7,2,5,71.4,0,2.8,1.5,,,,,,,,,,,,,,,,,,,
05/12/2021,Home,W 1-0,Manchester Utd,Crystal Palace,2,0,2,100,1,0.8,0.9,,,,,,,,,,,,,,,,,,,
11/12/2021,Away,W 1-0,Manchester Utd,Norwich City,5,0,5,100,1,2,0.9,,,,,,,,,,,,,,,,,,,
27/12/2021,Away,D 1-1,Manchester Utd,Newcastle Utd,8,1,7,87.5,0,1.9,1.1,,,,,,,,,,,,,,,,,,,
30/12/2021,Home,W 3-1,Manchester Utd,Burnley,3,1,2,66.7,0,0.9,0.8,,,,,,,,,,,,,,,,,,,
03/01/2022,Home,L 0-1,Manchester Utd,Wolves,6,1,5,83.3,0,1.2,0.7,,,,,,,,,,,,,,,,,,,
15/01/2022,Away,D 2-2,Manchester Utd,Aston Villa,9,2,7,77.8,0,2.9,2,,,,,,,,,,,,,,,,,,,
19/01/2022,Away,W 3-1,Manchester Utd,Brentford,9,1,8,88.9,0,3,2.2,,,,,,,,,,,,,,,,,,,
22/01/2022,Home,W 1-0,Manchester Utd,West Ham,1,0,1,100,1,0,0.4,,,,,,,,,,,,,,,,,,,
08/02/2022,Away,D 1-1,Manchester Utd,Burnley,3,1,2,66.7,0,0.8,0.6,,,,,,,,,,,,,,,,,,,
12/02/2022,Home,D 1-1,Manchester Utd,Southampton,4,1,3,75,0,0.6,1.1,,,,,,,,,,,,,,,,,,,
15/02/2022,Home,W 2-0,Manchester Utd,Brighton,3,0,3,100,1,0.5,0.6,,,,,,,,,,,,,,,,,,,
20/02/2022,Away,W 4-2,Manchester Utd,Leeds United,6,2,4,66.7,0,1.5,1.5,,,,,,,,,,,,,,,,,,,
26/02/2022,Home,D 0-0,Manchester Utd,Watford,2,0,2,100,1,0.6,0.5,,,,,,,,,,,,,,,,,,,
06/03/2022,Away,L 1-4,Manchester Utd,Manchester City,10,4,6,60,0,3.3,2.6,,,,,,,,,,,,,,,,,,,
12/03/2022,Home,W 3-2,Manchester Utd,Tottenham,1,2,1,0,0,0.9,1.3,,,,,,,,,,,,,,,,,,,
02/04/2022,Home,D 1-1,Manchester Utd,Leicester City,3,1,2,66.7,0,1,0.8,,,,,,,,,,,,,,,,,,,
09/04/2022,Away,L 0-1,Manchester Utd,Everton,3,1,2,66.7,0,0.8,0.4,,,,,,,,,,,,,,,,,,,
16/04/2022,Home,W 3-2,Manchester Utd,Norwich City,4,2,2,50,0,1.4,1.9,,,,,,,,,,,,,,,,,,,
19/04/2022,Away,L 0-4,Manchester Utd,Liverpool,5,4,1,20,0,2.8,2.3,,,,,,,,,,,,,,,,,,,
23/04/2022,Away,L 1-3,Manchester Utd,Arsenal,6,3,4,66.7,0,2.5,2.2,,,,,,,,,,,,,,,,,,,
28/04/2022,Home,D 1-1,Manchester Utd,Chelsea,6,1,5,83.3,0,1.6,2,,,,,,,,,,,,,,,,,,,
02/05/2022,Home,W 3-0,Manchester Utd,Brentford,4,0,4,100,1,0.1,0.6,,,,,,,,,,,,,,,,,,,
07/05/2022,Away,L 0-4,Manchester Utd,Brighton,5,4,1,20,0,2.7,2.8,,,,,,,,,,,,,,,,,,,
22/05/2022,Away,L 0-1,Manchester Utd,Crystal Palace,3,1,2,66.7,0,0.8,0.5,,,,,,,,,,,,,,,,,,,
,,,,Totals,177,57,124,69.72702703,8,60.7,54.7,,,,,,,,,,,,,,,,,,,
Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
15/08/2021,Away,L 0-1,Manchester City,Tottenham,2,1,1,50,0,0.6,1.3,,,,,,,,,,,,,,,,,,,
21/08/2021,Home,W 5-0,Manchester City,Norwich City,0,0,0,,1,0,0.1,,,,,,,,,,,,,,,,,,,
28/08/2021,Home,W 5-0,Manchester City,Arsenal,0,0,0,,1,0,0.1,,,,,,,,,,,,,,,,,,,
11/09/2021,Away,W 1-0,Manchester City,Leicester City,1,0,1,100,1,0.3,0.8,,,,,,,,,,,,,,,,,,,
18/09/2021,Home,D 0-0,Manchester City,Southampton,2,0,2,100,1,0.1,0.4,,,,,,,,,,,,,,,,,,,
25/09/2021,Away,W 1-0,Manchester City,Chelsea,0,0,0,,1,0,0.3,,,,,,,,,,,,,,,,,,,
03/10/2021,Away,D 2-2,Manchester City,Liverpool,3,2,1,33.3,0,1.3,1,,,,,,,,,,,,,,,,,,,
23/10/2021,Away,W 4-1,Manchester City,Brighton,4,1,4,100,0,1.1,1.3,,,,,,,,,,,,,,,,,,,
30/10/2021,Home,L 0-2,Manchester City,Crystal Palace,3,2,1,33.3,0,1.3,1.1,,,,,,,,,,,,,,,,,,,
06/11/2021,Away,W 2-0,Manchester City,Manchester Utd,1,0,1,100,1,0,0.6,,,,,,,,,,,,,,,,,,,
21/11/2021,Home,W 3-0,Manchester City,Everton,1,0,1,100,1,0,0.3,,,,,,,,,,,,,,,,,,,
28/11/2021,Home,W 2-1,Manchester City,West Ham,4,1,3,75,0,0.3,0.2,,,,,,,,,,,,,,,,,,,
01/12/2021,Away,W 2-1,Manchester City,Aston Villa,3,1,2,66.7,0,0.6,0.9,,,,,,,,,,,,,,,,,,,
04/12/2021,Away,W 3-1,Manchester City,Watford,4,1,3,75,0,1.2,0.7,,,,,,,,,,,,,,,,,,,
11/12/2021,Home,W 1-0,Manchester City,Wolves,1,0,1,100,1,0.3,0.2,,,,,,,,,,,,,,,,,,,
14/12/2021,Home,W 7-0,Manchester City,Leeds United,3,0,3,100,1,0,0.2,,,,,,,,,,,,,,,,,,,
19/12/2021,Away,W 4-0,Manchester City,Newcastle Utd,1,0,1,100,1,0.3,0.4,,,,,,,,,,,,,,,,,,,
26/12/2021,Home,W 6-3,Manchester City,Leicester City,8,3,3,62.5,0,3.1,2.4,,,,,,,,,,,,,,,,,,,
29/12/2021,Away,W 1-0,Manchester City,Brentford,2,0,2,100,1,0.5,0.3,,,,,,,,,,,,,,,,,,,
01/01/2022,Away,W 2-1,Manchester City,Arsenal,2,1,1,50,0,0.9,0.9,,,,,,,,,,,,,,,,,,,
15/01/2022,Home,W 1-0,Manchester City,Chelsea,1,0,1,100,1,0.2,0.5,,,,,,,,,,,,,,,,,,,
22/01/2022,Away,D 1-1,Manchester City,Southampton,3,1,2,66.7,0,1.1,1.1,,,,,,,,,,,,,,,,,,,
09/02/2022,Home,W 2-0,Manchester City,Brentford,2,0,2,100,1,0.2,0.7,,,,,,,,,,,,,,,,,,,
12/02/2022,Away,W 4-0,Manchester City,Norwich City,3,0,3,100,1,0.3,0.5,,,,,,,,,,,,,,,,,,,
19/02/2022,Home,L 2-3,Manchester City,Tottenham,5,3,2,40,0,2.3,1.8,,,,,,,,,,,,,,,,,,,
